Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
Dosrius (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Dozón (Pontevedra),Muy bajo,Bajo,Bajo,Bajo,Moderado,Moderado,Alto
Doña Mencía (Córdoba),Moderado,Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto
Doñinos de Ledesma (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Doñinos de Salamanca (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Driebes (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Duesaigües (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Dueñas (Palencia),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Alto
Dumbría (A Coruña),Bajo,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Durango (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Duruelo (Segovia),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Duruelo de la Sierra (Soria),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Durón (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Dénia (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Moderado
Dévanos (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Dílar (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Dólar (Granada),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Dúdar (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Dúrcal (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Ea (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Echarri/Etxarri (Navarra),Moderado,Alto,Alto,Muy alto,Extremo,Muy alto,Muy alto
Eibar (Guipúzcoa),Alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Eivissa (Baleares),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Ejea de los Caballeros (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Ejulve (Teruel),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
El Acebrón (Cuenca),Alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
El Almendro (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Arco (Salamanca),Moderado,Moderado,Moderado,Moderado,Moderado,Muy alto,Moderado
El Arenal (Ávila),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Astillero (Cantabria),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Atazar (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
El Ballestero (Albacete),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Barco de Ávila (Ávila),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
El Barraco (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Berrueco (Madrid),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
El Boalo (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Bodón (Salamanca),Moderado,Alto,Moderado,Muy alto,Extremo,Extremo,Muy alto
El Bohodón (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Bonillo (Albacete),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Borge (Málaga),Muy alto,Extremo,Muy alto,Muy alto,Extremo,Alto,Muy alto
El Bosque (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Bruc (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Burgo (Málaga),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Burgo Ranero (León),Bajo,Moderado,Alto,Muy alto,Extremo,Muy alto,Muy alto
El Burgo de Ebro (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
El Buste (Zaragoza),Muy alto,Alto,Alto,Alto,Extremo,Muy alto,Extremo
El Busto (Navarra),Moderado,Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto
El Cabaco (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Campillo (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Campillo (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Campillo de la Jara (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Campo de Peñaranda (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Cardoso de la Sierra (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Carpio (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Carpio de Tajo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Carrascalejo (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
El Casar (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Casar de Escalona (Toledo),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
El Castellar (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Castillo de las Guardas (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Catllar (Tarragona),Moderado,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
El Cañavate (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
El Cerro (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Cerro de Andévalo (Huelva),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Coronil (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Cubillo de Uceda (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Cubo de Don Sancho (Salamanca),Moderado,Alto,Alto,Muy alto,Muy alto,Extremo,Muy alto
El Cubo de Tierra del Vino (Zamora),Alto,Moderado,Alto,Muy alto,Alto,Extremo,Muy alto
El Cuervo (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Cuervo de Sevilla (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Ejido (Almería),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Escorial (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Espinar (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Far d'Empordà (Girona),Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Frago (Zaragoza),Muy alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
El Franco (Asturias),Muy bajo,Muy bajo,Muy bajo,Bajo,Muy alto,Muy alto,Muy alto
El Franco (nan),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Frasno (Zaragoza),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Fresno (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Garrobo (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Gastor (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Gordo (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Grado (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Granado (Huelva),Alto,Muy alto,Alto,Muy alto,Muy alto,Alto,Extremo
El Guijo (Córdoba),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
El Herrumblar (Cuenca),Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
El Hito (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Hornillo (Ávila),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Hoyo de Pinares (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
El Lloar (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto
El Losar del Barco (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Maderal (Zamora),Alto,Moderado,Muy alto,Muy alto,Alto,Extremo,Muy alto
El Madroño (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Manzano (Salamanca),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
El Masnou (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Masroig (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
El Maíllo (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Milano (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
El Milà (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
El Mirón (Ávila),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Molar (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Molar (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
El Morell (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
El Olivar (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Ordial (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
El Oso (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Palmar de Troya (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Papiol (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Parral (Ávila),Moderado,Alto,Alto,Moderado,Muy alto,Extremo,Muy alto
El Paso (Tenerife),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
El Payo (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Pedernoso (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
El Pedregal (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Alto,Extremo,Muy alto
El Pedroso (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Pedroso de la Armuña (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
El Pego (Zamora),Moderado,Moderado,Alto,Muy alto,Alto,Muy alto,Muy alto
El Peral (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Perdigón (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
El Perelló (Tarragona),Moderado,Moderado,Moderado,Moderado,Muy alto,Moderado,Muy alto
El Picazo (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
El Pinar (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Pinar de El Hierro (Tenerife),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Moderado
El Pinell de Brai (Tarragona),Moderado,Muy alto,Moderado,Muy alto,Muy alto,Alto,Muy alto
El Pino de Tormes (Salamanca),Moderado,Moderado,Muy alto,Muy alto,Moderado,Extremo,Muy alto
El Piñero (Zamora),Moderado,Moderado,Moderado,Alto,Alto,Muy alto,Muy alto
El Pla de Santa Maria (Tarragona),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Pla del Penedès (Barcelona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Pobo (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Pobo de Dueñas (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Alto,Extremo,Muy alto
El Pont d'Armentera (Tarragona),Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto,Muy alto
El Pont de Vilomara i Rocafort (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Port de la Selva (Girona),Moderado,Moderado,Moderado,Moderado,Alto,Moderado,Muy alto
El Pozuelo (Cuenca),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
El Prat de Llobregat (Barcelona),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Provencio (Cuenca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
El Puente del Arzobispo (Toledo),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Puerto de Santa María (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy bajo,Muy alto,Muy alto
El Pueyo de Araguás (Huesca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Rasillo de Cameros (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Real de San Vicente (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Real de la Jara (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Recuenco (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
El Redal (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Redegüelo (nan),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Robledo (Ciudad Real),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Romeral (Toledo),Alto,Extremo,Muy alto,Muy alto,Alto,Extremo,Muy alto
El Ronquillo (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
El Rosario (Tenerife),Alto,Alto,Alto,Muy alto,Muy alto,Alto,Alto
El Rourell (Tarragona),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
El Royo (Soria),Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo,Muy alto
El Rubio (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Sahugo (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
El Saucejo (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
El Sauzal (Tenerife),Alto,Alto,Alto,Alto,Alto,Alto,Alto
El Sotillo (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
El Tanque (Tenerife),Moderado,Moderado,Alto,Alto,Alto,Alto,Muy alto
El Tejado (Salamanca),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Tiemblo (Ávila),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Toboso (Toledo),Alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
El Tornadizo (Salamanca),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
El Torno (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Toro (Castellón),Extremo,Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
El Valle (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Valle de Altomira (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Vallecillo (Teruel),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Vellón (Madrid),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Vendrell (Tarragona),Muy bajo,Muy alto,Muy alto,Muy bajo,Muy bajo,Muy bajo,Muy bajo
El Villar de Arnedo (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
El Viso (Córdoba),Moderado,Alto,Muy alto,Alto,Muy alto,Extremo,Extremo
El Viso de San Juan (Toledo),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
El Viso del Alcor (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
El Álamo (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Elantxobe (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Elburgo/Burgelu (Álava),Alto,Moderado,Alto,Muy alto,Extremo,Extremo,Muy alto
Elche de la Sierra (Albacete),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Elciego (Álava),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Elda (Alicante),Extremo,Muy alto,Muy bajo,Muy alto,Moderado,Muy bajo,Muy alto
Elduain (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Elgeta (Guipúzcoa),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Elgoibar (Guipúzcoa),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Elgorriaga (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Eljas (Cáceres),Alto,Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Elorrio (Vizcaya),Alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Els Garidells (Tarragona),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Els Guiamets (Tarragona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Els Hostalets de Pierola (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Els Pallaresos (Tarragona),Moderado,Muy bajo,Muy bajo,Muy alto,Muy alto,Muy alto,Muy alto
Els Prats de Rei (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Elvillar/Bilar (Álava),Moderado,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Elx/Elche (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Embid (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Alto,Extremo,Muy alto
Embid de Ariza (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Emperador (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Encina de San Silvestre (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Encinacorba (Zaragoza),Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Encinas (Segovia),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Encinas Reales (Córdoba),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Encinas de Abajo (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Encinas de Arriba (Salamanca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Encinas de Esgueva (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Encinasola (Huelva),Moderado,Alto,Alto,Alto,Alto,Muy alto,Extremo
Encinasola de los Comendadores (Salamanca),Alto,Alto,Alto,Muy alto,Extremo,Extremo,Muy alto
Encinedo (León),Bajo,Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto
Encinillas (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Enciso (La Rioja),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Encío (Burgos),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Endrinal (Salamanca),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Enguera (Valencia),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Enguídanos (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Enix (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado
Entrala (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Entrambasaguas (Cantabria),Bajo,Bajo,Moderado,Muy alto,Extremo,Extremo,Extremo
Entrena (La Rioja),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Entrimo (Ourense),Bajo,Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto
Entrín Bajo (Badajoz),Moderado,Muy alto,Alto,Moderado,Moderado,Alto,Extremo
Enériz/Eneritz (Navarra),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Erandio (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Eratsun (Navarra),Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Ereño (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Ergoiena (Navarra),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Erla (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Alto,Extremo
Ermua (Vizcaya),Alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Errenteria (Guipúzcoa),Moderado,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Errezil (Guipúzcoa),Alto,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Erriberagoitia/Ribera Alta (Álava),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Errigoiti (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Erro (Navarra),Bajo,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Erustes (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Es Bòrdes (Lleida),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Es Mercadal (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo
Es Migjorn Gran (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo
Escacena del Campo (Huelva),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Escalante (Cantabria),Bajo,Bajo,Alto,Muy alto,Extremo,Extremo,Extremo
Escalona (Toledo),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escalona del Prado (Segovia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escalonilla (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Escamilla (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Escarabajosa de Cabezas (Segovia),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Escariche (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escatrón (Zaragoza),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Extremo
Escañuela (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Escobar de Campos (León),Moderado,Moderado,Moderado,Muy alto,Extremo,Muy alto,Muy alto
Escobar de Polendos (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escobosa de Almazán (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Escopete (Guadalajara),Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Escorca (Baleares),Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto,Extremo
Escorihuela (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escucha (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Escurial (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Escurial de la Sierra (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Escúzar (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Esgos (Ourense),Bajo,Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto
Esguevillas de Esgueva (Valladolid),Alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Eskoriatza (Guipúzcoa),Moderado,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Eslava (Navarra),Alto,Alto,Alto,Alto,Extremo,Muy alto,Extremo
Eslida (Castellón),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Muy alto
Espadaña (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Espadañedo (Zamora),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Espadilla (Castellón),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Esparragalejo (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Esparragosa de Lares (Badajoz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Esparragosa de la Serena (Badajoz),Moderado,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Esparreguera (Barcelona),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Muy alto
Espartinas (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Esparza de Salazar/Espartza Zaraitzu (Navarra),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Espeja (Salamanca),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Muy alto
Espeja de San Marcelino (Soria),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Espejo (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Espejón (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Espeluy (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Espera (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Espiel (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Espinelves (Girona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
